feature,grupo,n,media,mediana,desvio_padrao,min,max
grid,vencedores,7,4.571428571428571,1.0,6.425396041156863,1.0,17.0
grid,nao_vencedores,133,10.511278195488721,11.0,5.641588726045097,0.0,20.0
ritmo_representativo_pct,vencedores,7,-1.3250028468650572,-1.1053795136330202,0.5001203757305185,-2.0990686860460572,-0.7670143257173079
ritmo_representativo_pct,nao_vencedores,125,0.03501468986181588,0.10712664060972266,0.7925956270192863,-2.006051776308415,2.456822518577939
voltas_analisadas,vencedores,7,68.0,68.0,1.4142135623730951,66.0,70.0
voltas_analisadas,nao_vencedores,133,59.86466165413534,67.0,18.954403803836648,0.0,70.0
voltas_disponiveis,vencedores,7,70.71428571428571,71.0,0.7559289460184545,69.0,71.0
voltas_disponiveis,nao_vencedores,133,62.46616541353384,70.0,19.55162121162166,0.0,71.0
cobertura_ritmo_pct,vencedores,7,96.16539818621877,97.10144927536231,1.9370367660965044,92.95774647887323,98.59154929577464
cobertura_ritmo_pct,nao_vencedores,125,95.69557815914051,95.77464788732394,2.439361420094484,81.81818181818181,100.0
qtd_pit_stops,vencedores,7,2.4285714285714284,2.0,1.2724180205607034,1.0,4.0
qtd_pit_stops,nao_vencedores,133,2.3684210526315788,2.0,1.252111454343775,0.0,5.0
duracao_mediana_pit_convencional,vencedores,6,22.636416666666666,22.825499999999998,1.0298202958121712,20.662,23.500500000000002
duracao_mediana_pit_convencional,nao_vencedores,120,23.808991666666664,23.557499999999997,2.6916859286672796,17.751,35.755
qtd_stints,vencedores,7,3.4285714285714284,3.0,1.2724180205607034,2.0,5.0
qtd_stints,nao_vencedores,133,3.338345864661654,3.0,1.3078273565814873,0.0,6.0
qtd_compostos_distintos,vencedores,7,1.8571428571428572,2.0,0.37796447300922725,1.0,2.0
qtd_compostos_distintos,nao_vencedores,133,1.9172932330827068,2.0,0.5779419177846938,0.0,3.0
voltas_stint_medio,vencedores,7,23.354761904761904,23.666666666666668,8.859556016202664,14.2,35.5
voltas_stint_medio,nao_vencedores,130,20.040897435897435,22.0,8.294342143381007,1.0,35.5
air_temp_media,vencedores,7,21.486476611566655,21.66268656716417,2.18683015624353,17.34802631578948,23.769600000000004
air_temp_media,nao_vencedores,133,21.486476611566655,21.66268656716417,2.0322658258575457,17.34802631578948,23.769600000000004
track_temp_media,vencedores,7,41.05301435704508,46.04910179640717,9.47969903895622,25.769651741293544,51.56139240506331
track_temp_media,nao_vencedores,133,41.05301435704508,46.04910179640717,8.809677487427113,25.769651741293544,51.56139240506331
humidity_media,vencedores,7,69.41245162685053,70.57236842105263,10.239580631177938,58.17486338797814,85.2587064676617
humidity_media,nao_vencedores,133,69.41245162685054,70.57236842105263,9.515850935402211,58.17486338797814,85.2587064676617
pressure_media,vencedores,7,925.9825539056804,926.4567164179118,2.5470965741026195,922.1604790419151,929.708552631579
pressure_media,nao_vencedores,133,925.9825539056804,926.4567164179118,2.3670687492253206,922.1604790419151,929.708552631579
wind_speed_medio,vencedores,7,1.2665783889639404,1.3092896174863373,0.5755557745363367,0.39177215189873377,2.1871999999999994
wind_speed_medio,nao_vencedores,133,1.2665783889639404,1.3092896174863373,0.53487570954043,0.39177215189873377,2.1871999999999994
