grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto,composto_mais_utilizado,rainfall_ocorreu
1,-1.0958879654759113,22.641,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,MEDIUM,0
2,-1.164522317775074,22.616999999999997,2,3,23.666666666666668,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,SOFT,0
3,-1.120171320319585,22.841,2,3,23.666666666666668,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,MEDIUM,0
4,-1.1114866080659758,22.766,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,MEDIUM,0
5,-1.3432157206784923,23.432,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,SOFT,0
6,0.9044388908723056,23.377,1,2,10.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,SUPERSOFT,0
7,-0.29055454753144083,23.593,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,MEDIUM,0
8,-0.258432359282168,23.403,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,MEDIUM,0
9,0.8736871456455075,23.757,1,2,35.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,MEDIUM,0
10,-0.1989219846550483,23.115,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,SOFT,0
11,-1.214728023527295,23.3,1,2,35.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,SUPERSOFT,0
12,0.0493542814838932,23.505,1,2,35.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SUPERSOFT,SUPERSOFT,0
13,0.25566756348995856,,0,1,32.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,SOFT,0
14,1.5415139404906575,23.273,1,2,34.5,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,MEDIUM,0
15,0.4491565949605203,23.8545,2,3,23.333333333333332,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,SOFT,0
16,0.8247776399482598,23.422,1,2,35.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,MEDIUM,MEDIUM,0
17,1.0549403232100296,28.3995,2,3,23.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,MEDIUM,0
18,0.20532988045451894,29.212,2,2,23.333333333333332,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,SOFT,0
19,1.4101151195676787,24.445500000000003,2,3,23.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,MEDIUM,0
20,1.115380362671381,22.618,1,2,35.0,23.769600000000004,40.06880000000001,75.41279999999998,923.9296,2.1871999999999994,SOFT,MEDIUM,0
1,-1.957712810807405,22.657,3,2,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
2,-1.6994294675932053,23.088500000000003,2,2,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
3,-1.9618983172621451,23.06,3,2,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
