grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto_HARD,primeiro_composto_INTERMEDIATE,primeiro_composto_MEDIUM,primeiro_composto_SOFT,primeiro_composto_SUPERSOFT,primeiro_composto_None,composto_mais_utilizado_HARD,composto_mais_utilizado_INTERMEDIATE,composto_mais_utilizado_MEDIUM,composto_mais_utilizado_SOFT,composto_mais_utilizado_SUPERSOFT,composto_mais_utilizado_None,rainfall_ocorreu
1.0,-1.957712810807405,22.657,3.0,2.0,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,-1.6994294675932053,23.088500000000003,2.0,2.0,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,-1.9618983172621451,23.06,3.0,2.0,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,-1.2911126196275768,23.179000000000002,2.0,3.0,17.333333333333332,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,-1.2355165510686938,23.072000000000003,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,-0.30674846625767804,23.253,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,0.18958116104919043,23.6235,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,23.652,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9.0,0.2961251427508804,23.685,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.1130604807065616,23.368000000000002,2.0,3.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
