modelo,repeticoes,tempo_treino_ms_mediana,tempo_treino_ms_media,tempo_inferencia_ms_mediana,tempo_inferencia_ms_media,interpretabilidade
Decision Tree,10,10.579599999800848,25.41464000041742,4.6779000003880356,4.7728199997436604,Alta
Logistic Regression,10,18.71729999948002,288.35585999986506,5.917999999837775,9.812970000348287,Alta
Random Forest,10,584.9735999991026,588.5065899994515,68.72135000048729,70.61217999998917,Média
