modelo,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.84,0.17647058823529413,0.6,0.2727272727272727,0.8673684210526316
Decision Tree,0.88,0.18181818181818182,0.4,0.25,0.6526315789473683
Random Forest,0.94,0.3333333333333333,0.2,0.25,0.9557894736842105
